batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RC_OHM
34330,2S,EE,Perugia,Right,,,137.608566914
34330,2S,EE,Perugia,Left,,,113.957262523
34330,2S,EE,Perugia,Right,,,137.608566914
34330,2S,EE,Perugia,Left,,,113.957262523
34330,2S,WW,Perugia,Left,,,105.632413615
34330,2S,WW,Perugia,Right,,,137.39021629400003
34330,2S,WW,Perugia,Left,,,105.632413615
34330,2S,WW,Perugia,Right,,,137.39021629400003
34330,2S,EE,Perugia,Right,,,121.585385784
34330,2S,EE,Perugia,Left,,,108.13804376099999
34330,2S,EE,Perugia,Right,,,121.585385784
34330,2S,EE,Perugia,Left,,,108.13804376099999
34330,2S,WW,Perugia,Left,,,106.522542955
34330,2S,WW,Perugia,Right,,,109.010741192
34330,2S,WW,Perugia,Left,,,106.522542955
34330,2S,WW,Perugia,Right,,,109.010741192
34330,2S,EE,Perugia,Right,,,122.39620334199999
34330,2S,EE,Perugia,Left,,,111.764778282
34330,2S,EE,Perugia,Left,,,111.764778282
34330,2S,EE,Perugia,Right,,,122.39620334199999
34330,2S,WW,Perugia,Right,,,130.139125703
34330,2S,WW,Perugia,Left,,,114.16543709700001
34330,2S,WW,Perugia,Left,,,114.16543709700001
34330,2S,WW,Perugia,Right,,,130.139125703
34330,2S,EE,Perugia,Left,,,106.041547323
34330,2S,EE,Perugia,Right,,,140.891291408
34330,2S,EE,Perugia,Left,,,106.041547323
34330,2S,EE,Perugia,Right,,,140.891291408
34330,2S,WW,Perugia,Left,,,116.301025869
34330,2S,WW,Perugia,Left,,,116.301025869
34330,2S,EE,Perugia,Right,,,111.242409227
34330,2S,EE,Perugia,Left,,,135.332386119
34330,2S,EE,Perugia,Left,,,135.332386119
34330,2S,EE,Perugia,Right,,,111.242409227
34330,2S,WW,Perugia,Left,,,117.439910928
34330,2S,WW,Perugia,Right,,,138.454158669
34330,2S,WW,Perugia,Right,,,138.454158669
34330,2S,WW,Perugia,Left,,,117.439910928
34330,2S,EE,Perugia,Left,,,122.050133512
34330,2S,EE,Perugia,Right,,,129.996859215
34330,2S,EE,Perugia,Right,,,129.996859215
34330,2S,EE,Perugia,Left,,,122.050133512
34330,2S,WW,Perugia,Right,,,130.856416354
34330,2S,WW,Perugia,Left,,,111.03535036500001
34330,2S,WW,Perugia,Left,,,111.03535036500001
34330,2S,WW,Perugia,Right,,,130.856416354
34330,2S,EE,Perugia,Right,,,125.099506977
34330,2S,EE,Perugia,Left,,,128.701127269
34330,2S,EE,Perugia,Right,,,125.099506977
34330,2S,EE,Perugia,Left,,,128.701127269
34330,2S,WW,Perugia,Left,,,111.148863347
34330,2S,WW,Perugia,Right,,,153.756157312
34330,2S,WW,Perugia,Left,,,111.148863347
34330,2S,WW,Perugia,Right,,,153.756157312
34330,2S,EE,Perugia,Right,,,111.056603623
34330,2S,EE,Perugia,Left,,,129.572026421
34330,2S,EE,Perugia,Left,,,129.572026421
34330,2S,EE,Perugia,Right,,,111.056603623
34330,2S,WW,Perugia,Right,,,112.577335808
34330,2S,WW,Perugia,Left,,,116.625322471
34330,2S,WW,Perugia,Left,,,116.625322471
34330,2S,WW,Perugia,Right,,,112.577335808
34330,2S,EE,Perugia,Right,,,125.543683144
34330,2S,EE,Perugia,Left,,,117.675840972
34330,2S,EE,Perugia,Right,,,125.543683144
34330,2S,EE,Perugia,Left,,,117.675840972
34330,2S,WW,Perugia,Right,,,68.454769915
34330,2S,WW,Perugia,Left,,,135.04937579300002
34330,2S,WW,Perugia,Left,,,135.04937579300002
34330,2S,WW,Perugia,Right,,,68.454769915
34330,2S,EE,Perugia,Right,,,132.781124633
34330,2S,EE,Perugia,Left,,,97.07657078300001
34330,2S,EE,Perugia,Left,,,97.07657078300001
34330,2S,EE,Perugia,Right,,,132.781124633
34330,2S,WW,Perugia,Right,,,118.02856428599999
34330,2S,WW,Perugia,Left,,,95.56928545
34330,2S,WW,Perugia,Left,,,95.56928545
34330,2S,WW,Perugia,Right,,,118.02856428599999
34330,2S,EE,Perugia,Left,,,122.780703899
34330,2S,EE,Perugia,Right,,,135.362297974
34330,2S,EE,Perugia,Left,,,122.780703899
34330,2S,EE,Perugia,Right,,,135.362297974
34330,2S,WW,Perugia,Left,,,130.139792366
34330,2S,WW,Perugia,Right,,,172.867096532
34330,2S,WW,Perugia,Left,,,130.139792366
34330,2S,WW,Perugia,Right,,,172.867096532
