batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34330,2S,EE,Perugia,Left,,,7.646667
34330,2S,EE,Perugia,Right,,,7.600813
34330,2S,EE,Perugia,Right,,,7.600813
34330,2S,EE,Perugia,Left,,,7.646667
34330,2S,WW,Perugia,Left,,,7.653415
34330,2S,WW,Perugia,Right,,,7.647829
34330,2S,WW,Perugia,Right,,,7.647829
34330,2S,WW,Perugia,Left,,,7.653415
34330,2S,EE,Perugia,Left,,,7.620553
34330,2S,EE,Perugia,Right,,,7.61484
34330,2S,EE,Perugia,Right,,,7.61484
34330,2S,EE,Perugia,Left,,,7.620553
34330,2S,WW,Perugia,Right,,,7.639002
34330,2S,WW,Perugia,Left,,,7.648477
34330,2S,WW,Perugia,Left,,,7.648477
34330,2S,WW,Perugia,Right,,,7.639002
34330,2S,EE,Perugia,Right,,,7.59421
34330,2S,EE,Perugia,Left,,,7.630695
34330,2S,EE,Perugia,Right,,,7.59421
34330,2S,EE,Perugia,Left,,,7.630695
34330,2S,WW,Perugia,Right,,,7.65524
34330,2S,WW,Perugia,Left,,,7.664324
34330,2S,WW,Perugia,Right,,,7.65524
34330,2S,WW,Perugia,Left,,,7.664324
34330,2S,EE,Perugia,Right,,,7.609645
34330,2S,EE,Perugia,Left,,,7.618204
34330,2S,EE,Perugia,Right,,,7.609645
34330,2S,EE,Perugia,Left,,,7.618204
34330,2S,WW,Perugia,Right,,,7.65082
34330,2S,WW,Perugia,Left,,,7.653933
34330,2S,WW,Perugia,Left,,,7.653933
34330,2S,WW,Perugia,Right,,,7.65082
34330,2S,EE,Perugia,Right,,,7.631081
34330,2S,EE,Perugia,Left,,,7.626659
34330,2S,EE,Perugia,Right,,,7.631081
34330,2S,EE,Perugia,Left,,,7.626659
34330,2S,WW,Perugia,Left,,,7.644054
34330,2S,WW,Perugia,Right,,,7.651717
34330,2S,WW,Perugia,Left,,,7.644054
34330,2S,WW,Perugia,Right,,,7.651717
34330,2S,EE,Perugia,Right,,,7.619385
34330,2S,EE,Perugia,Left,,,7.619775
34330,2S,EE,Perugia,Right,,,7.619385
34330,2S,EE,Perugia,Left,,,7.619775
34330,2S,WW,Perugia,Right,,,7.641068
34330,2S,WW,Perugia,Left,,,7.60809
