batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RC_OHM
34252,PSS,EE,Brown,Left,20.0,20.062,75.057
34252,PSS,EE,Brown,Left,20.0,20.063,75.069
34252,PSS,EE,Brown,Right,20.0,20.003,100.371
34252,PSS,EE,Brown,Right,20.0,20.005,100.379
34252,PSS,WW,Brown,Right,20.0,20.019,93.361
34252,PSS,WW,Brown,Left,20.0,20.097,85.654
34252,PSS,WW,Brown,Right,20.0,20.018,93.371
34252,PSS,WW,Brown,Left,20.0,20.093,85.645
34252,PSS,EE,Brown,Left,20.0,20.048,101.604
34252,PSS,EE,Brown,Right,20.0,20.108,95.446
34252,PSS,EE,Brown,Left,20.0,20.052,101.601
34252,PSS,EE,Brown,Right,20.0,20.112,95.449
34252,PSS,WW,Brown,Left,20.0,20.045,102.774
34252,PSS,WW,Brown,Right,20.0,20.02,108.957
34252,PSS,WW,Brown,Right,20.0,20.018,108.981
34252,PSS,WW,Brown,Left,20.0,20.048,102.775
34252,PSS,EE,Brown,Left,20.0,20.038,105.594
34252,PSS,EE,Brown,Left,20.0,20.033,105.595
34252,PSS,EE,Brown,Right,20.0,20.004,108.722
34252,PSS,EE,Brown,Right,20.0,20.007,108.714
34252,PSS,WW,Brown,Right,20.0,20.001,94.384
34252,PSS,WW,Brown,Left,20.0,20.072,98.866
34252,PSS,WW,Brown,Left,20.0,20.068,98.869
34252,PSS,WW,Brown,Right,20.0,20.002,94.392
34252,PSS,EE,Brown,Left,20.0,20.071,90.559
34252,PSS,EE,Brown,Right,20.0,20.031,99.794
34252,PSS,EE,Brown,Right,20.0,20.032,99.803
34252,PSS,EE,Brown,Left,20.0,20.074,90.566
34252,PSS,WW,Brown,Left,20.0,20.074,115.924
34252,PSS,WW,Brown,Left,20.0,20.071,115.923
34252,PSS,WW,Brown,Right,20.0,20.006,118.629
34252,PSS,WW,Brown,Right,20.0,20.008,118.617
34252,PSS,EE,Brown,Left,20.0,20.104,92.946
34252,PSS,EE,Brown,Right,20.0,20.035,96.801
34252,PSS,EE,Brown,Left,20.0,20.104,92.931
34252,PSS,EE,Brown,Right,20.0,20.033,96.798
34252,PSS,WW,Brown,Right,20.0,20.074,88.26
34252,PSS,WW,Brown,Left,20.0,20.143,110.26
34252,PSS,WW,Brown,Right,20.0,20.076,88.255
34252,PSS,WW,Brown,Left,20.0,20.147,110.259
34252,PSS,EE,Brown,Left,20.0,20.101,112.46
34252,PSS,EE,Brown,Right,20.0,20.125,115.26
34252,PSS,EE,Brown,Right,20.0,20.121,115.264
34252,PSS,EE,Brown,Left,20.0,20.1,112.455
34252,PSS,WW,Brown,Left,20.0,20.12,83.077
34252,PSS,WW,Brown,Left,20.0,20.114,83.063
34252,PSS,WW,Brown,Right,20.0,20.071,115.51
34252,PSS,WW,Brown,Right,20.0,20.071,115.523
34252,PSS,EE,Brown,Right,20.0,20.046,142.485
34252,PSS,EE,Brown,Left,20.0,20.034,93.452
34252,PSS,EE,Brown,Left,20.0,20.03,93.439
